### SECTION 1: PRACTICES (1472 rows)
id,nbu_code,name,section,category,parent_id,active
57,660104,"BACTERIOLOGIA, DIRECTA (Coloración de Gram)",Prácticas Generales,,,true
58,660105,"BACTERIOLOGICO, DIRECTO-CULTIVO e IDENTIFICACIÓN del GÉRMEN",Prácticas Generales,,,true
566,662863,"BANDAS OLIGOCLONALES, en L.C.R. / Suero",Prácticas Especiales,,,true
567,662888,"BARBITURATOS, Confirmatorio",Prácticas Especiales,,,true
59,660107,BARBITÚRICOS urinarios,Prácticas Generales,,,true
568,662896,BARIO sérico,Prácticas Especiales,,,true
569,662897,BARIO urinario,Prácticas Especiales,,,true
570,662912,"BARTONELLA HENSELAE, Ac. IgG Anti",Prácticas Especiales,,,true
571,662914,"BARTONELLA HENSELAE, Ac. IgM Anti",Prácticas Especiales,,,true
752,664333,"BASÓFILOS, DEGRANULACIÓN EN RESPUESTA A (1) ALERGENO Citometría de Flujo",Prácticas Especiales,,,true
60,660108,"BENCE- JONES, PROTEINAS de (HPLC / IMF)",Prácticas Generales,,,true
572,662931,BENCENO-ETILBENCENO-TOLUENO-XILENO (BETX),Prácticas Especiales,,,true
573,662945,"BENZODIAZEPINAS, Confirmatorio",Prácticas Especiales,,,true
574,662963,BERILIO sérico,Prácticas Especiales,,,true
575,662965,BERILIO urinario,Prácticas Especiales,,,true
576,662980,"Beta 2 GLICOPROTEÍNA, Ac. IgA Anti",Prácticas Especiales,,,true
577,662982,"Beta 2 GLICOPROTEÍNA, Ac. IgG Anti",Prácticas Especiales,,,true
578,662984,"Beta 2 GLICOPROTEÍNA, Ac. IgM Anti",Prácticas Especiales,,,true
580,663025,Beta CROSS LAPS CTX-C TELOPÉPTIDO DE COLÁGENO TIPO I,Prácticas Especiales,,,true
581,663034,Beta GALACTOSIDASA,Prácticas Especiales,,,true
582,663042,Beta GLUCOCEREBROSIDASA,Prácticas Especiales,,,true
583,663051,Beta LACTAMASA,Prácticas Especiales,,,true
584,663056,Beta Libre hCG,Prácticas Especiales,,,true
585,663062,Beta MANOSIDASA,Prácticas Especiales,,,true
61,660109,BICARBONATO,Prácticas Generales,,,true
586,663065,"BICARBONATO, en orina",Prácticas Especiales,,,true
62,660110,"BILIRRUBINEMIA TOTAL, DIRECTA E INDIRECTA",Prácticas Generales,,219,true
63,660111,BILIRRUBINURIA,Prácticas Generales,,,true
587,663067,BIOTINA,Prácticas Especiales,,,true
588,663068,"BIOTINIDAZA, CONFIRMATORIO",Prácticas Especiales,,,true
589,663076,BLADER TEST ANTÍGENO NMP22 (B.T.A.),Prácticas Especiales,,,true
590,663085,"BLASTOMYCES DERMATITIDIS, Ac (Fase Lev)",Prácticas Especiales,,,true
591,663093,BNP (FACTOR NATRIURÉTICO),Prácticas Especiales,,,true
595,663120,BORDETELLA PERTUSIS PCR,Prácticas Especiales,,,true
592,663102,"BORDETELLA PERTUSIS, Ac. IgG Anti",Prácticas Especiales,,,true
593,663110,"BORDETELLA PERTUSIS, Ac. IgM Anti",Prácticas Especiales,,,true
594,663119,"BORDETELLA PERTUSIS, Ag",Prácticas Especiales,,,true
596,663128,"BORRELLIA BUGDORFERI, Ac. IgG Anti",Prácticas Especiales,,,true
597,663136,"BORRELLIA BUGDORFERI, Ac. IgM Anti",Prácticas Especiales,,,true
598,663141,"BRCA 1 BRCA 2, GRANDES DELECCIONES Y DUPLICACIONES (MLPA)",Prácticas Especiales,,,true
599,663143,"BRCA 1 BRCA 2, SECUENCIACIÓN COMPLETA",Prácticas Especiales,,,true
600,663145,"BRCA 1-2, PANEL ASHKENAZI",Prácticas Especiales,,,true
601,663147,"BRCA 1-2, PANEL ASHKENAZI SEFARADI",Prácticas Especiales,,,true
602,663153,BROMURO sérico,Prácticas Especiales,,,true
603,663158,"BRUCELLAS, TEST DE WRIGHT",Prácticas Especiales,,,true
604,663159,"BRUCELLAS, TEST DE WRIGHT, con 2-Mercaptoetanol (W-2ME)",Prácticas Especiales,,,true
606,663170,BRUCELOSIS (Fijación de Complemento),Prácticas Especiales,,,true
605,663162,BRUCELOSIS (IFI),Prácticas Especiales,,,true
607,663179,"BRUCELOSIS, Ac. IgG ó Totales Anti",Prácticas Especiales,,,true
608,663187,"BRUCELOSIS, Ac. IgM Anti",Prácticas Especiales,,,true
609,663190,"BRUCELOSIS, Ac. Incompletos Anti",Prácticas Especiales,,,true
610,663230,C1 INHIBIDOR (C1 INHIBIDOR INMUNOLÓGICO),Prácticas Especiales,,,true
64,660120,C3 COMPLEMENTO,Prácticas Generales,,,true
65,660121,C4 COMPLEMENTO,Prácticas Generales,,,true
611,663239,CA 21-1 (MARCADOR TUMORAL de PULMÓN) CYFRA 21-1,Prácticas Especiales,,,true
612,663247,CA 72-4 (MARCADOR TUMORAL GÁSTRICO),Prácticas Especiales,,,true
66,660130,CADENA LIVIANA KAPPA Y LAMBDA sérico (IMF),Prácticas Generales,,,true
67,660131,CADENA LIVIANA KAPPA Y LAMBDA urinario (IMF),Prácticas Generales,,,true
613,663254,"CADENA LIVIANA KAPPA, LIBRE (Nefelometría)",Prácticas Especiales,,,true
614,663257,"CADENA LIVIANA LAMBDA, LIBRE (Nefelometría)",Prácticas Especiales,,,true
615,663259,CADENAS PESADAS EN SANGRE Y ORINA C/U,Prácticas Especiales,,,true
2899,03,CADMIO,,,2922,true
616,663262,CADMIO (Cd) pelo,Prácticas Especiales,,,true
617,663264,CADMIO (Cd) sanguíneo,Prácticas Especiales,,,true
68,660132,CADMIO (Cd) urinario,Prácticas Generales,,,true
69,660133,CALCEMIA TOTAL (Ca),Prácticas Generales,,,true
618,663273,CALCIDIOIDEMICOSIS Inmunodif,Prácticas Especiales,,,true
619,663290,CALCIO (Ca) pelo,Prácticas Especiales,,,true
620,663292,CALCIO (Ca) saliva,Prácticas Especiales,,,true
70,660134,CALCIO IONICO,Prácticas Generales,,,true
71,660135,CALCIO PRUEBA DE LA SOBRECARGA,Prácticas en Desuso,,,false
72,660136,CALCIO urinario,Prácticas Generales,,,true
73,660137,CALCITONINA sérica,Prácticas Generales,,,true
621,663307,"CÁLCULO biliar, salival, urinario Estudio Cristalográfico (C/U)",Prácticas Especiales,,,true
74,660138,CALCULO urinario,Prácticas Generales,,,true
622,663310,CALPROTECTINA (CPMF),Prácticas Especiales,,,true
623,663316,"CAMPYLOBACTER SPP, Cultivo",Prácticas Especiales,,,true
624,663318,"CAMPYLOBACTER SPP, Directo (ELISA)",Prácticas Especiales,,,true
625,663320,"CAMPYLOBACTER SPP, Directo (Microscopía)",Prácticas Especiales,,,true
626,663324,"CANDIDA ALBICANS, Ac. Totales",Prácticas Especiales,,,true
627,663333,"CANDIDA, ELECTROFORESIS DE CAMP",Prácticas Especiales,,,true
628,663350,"CANNABINOIDES, CONFIRMATORIO (MARIHUANA CONFIRMATORIO GC-MS)",Prácticas Especiales,,,true
75,660139,"CARBONICO, ANDHIDRICO (PCO2)",Prácticas Generales,,,true
629,663375,CARBOXIHEMOGLOBINA,Prácticas Especiales,,,true
630,663384,"CARDIOLIPINAS, Ac. IgA Anti",Prácticas Especiales,,,true
631,663392,"CARDIOLIPINAS, Ac. IgG Anti",Prácticas Especiales,,,true
632,663401,"CARDIOLIPINAS, Ac. IgM Anti",Prácticas Especiales,,,true
633,663427,CARIOTIPO con BANDEO Alta Resolución (Alta Sensibilidad),Prácticas Especiales,,,true
635,663435,CARIOTIPO líquido anmiótico,Prácticas Especiales,,,true
636,663440,CARIOTIPO material de aborto,Prácticas Especiales,,,true
637,663443,CARIOTIPO médula ósea (Citogenético de MO),Prácticas Especiales,,,true
638,663446,CARIOTIPO vellosidades coriónicas,Prácticas Especiales,,,true
634,663430,"CARIOTIPO, con BANDEO",Prácticas Especiales,,,true
76,660140,"CARIOTIPO, MAPA CROMOSOMICO",Prácticas Generales,,,true
639,663461,"CARNITINA, Libre y Total suero",Prácticas Especiales,,,true
640,663463,"CARNITINA, Libre y Total urinario",Prácticas Especiales,,,true
77,660141,CAROTENO BETA sérico,Prácticas Generales,,,true
641,663478,CATECOLAMINAS LCR,Prácticas Especiales,,,true
647,663538,"CD, SUBPOBLACION LINFOCITARIA Citometría de Flujo (C/U)",Prácticas Especiales,,,true
643,663504,CD10/CD19 Citom. de Flujo,Prácticas Especiales,,,true
645,663521,CD25 RECEPTOR SOLUBLE DE INTERLUKINA 2 Citom. de Flujo,Prácticas Especiales,,,true
644,663512,"CD3/CD16+56, CÉLULAS NATURAL KILLER (NK) Citom. de Flujo",Prácticas Especiales,,,true
642,663495,CD34 POSITIVAS Citometría de Flujo,Prácticas Especiales,,,true
403,661011,CD4 SUB POBLACIÓN LINFOCITARIA por Citom. de flujo,Prácticas Generales,,,true
646,663529,CD69/CD56,Prácticas Especiales,,,true
404,661015,CD8 SUB POBLACIÓN LINFOCITARIA por Citom. de flujo,Prácticas Generales,,,true
78,660144,CEA ANTÍGENO CARCINOEMBRIOGENICO,Prácticas Generales,,,true
648,663543,CELULARIDAD en lágrimas,Prácticas Especiales,,,true
649,663546,CELULAS LE,Prácticas Especiales,,,true
79,660148,"CELULAS NEOPLASICAS líquidos, exudados, trasudados",Prácticas Generales,,,true
650,663563,"CENTROMERO, Ac. Anti",Prácticas Especiales,,,true
80,660150,CEREBROSIDOS (Cromatográfico),Prácticas Generales,,,true
81,660151,CERULOPLASMINA,Prácticas Generales,,,true
82,660152,CETOGENOESTEROIDES urinarios,Prácticas Generales,,,true
83,660154,CETONEMIA,Prácticas Generales,,,true
